2018 Jan 27 22:13:19  更新测试!
2011 Dec 08 04:01:50  白痴智障，@笑蜀 你TMD到底从哪里得出结论说，转型陈本最低（最小）的是中道理性，像你这样的焚蛆蠕动，柔性前进，一百年蚣党暴`政也纹丝不动，在此期间，13亿民众所承受的无量数眼泪、悲号、血腥、屠杀难道不是成本？http://t.co/ldurDSmX
2011 Dec 08 03:41:50  @Weber_cat 萧瀚太脑残，他的智商撑不起他的高姿态，叶隐这个人贱兮兮，心术不正。
2011 Dec 08 03:13:05  笑蜀这个贱人，我要把他的屎都打爆，有兴趣的话可以关注：http://t.co/ORBaBJey
2011 Dec 07 22:39:57  @mozhixu 艹，后面的一些帖子还来不及备份，也有可能是笑蜀直接联系新浪在背后玩小动作，我还特别注意了过于敏感的话不往上面贴，没想到也这么快完蛋。
2011 Dec 07 02:55:38  @paleylin 什么尚可理解，根本就是无耻地随意剪裁捏造，光诚那么明白的话还听不懂理解不了，TMD混什么公知？
2011 Dec 07 02:30:04  @paleylin 笑鼠这个sb到底有没有看过陈光诚后期流传出来的视频？都说成那样了还不反抗根本制度和整个政权？光诚到底怎么回事，是由他满嘴胡柴信口雌黄的吗？去读读【蓝无忧整理陈光诚先生视频演讲文字稿】。
2011 Dec 07 01:56:12  我的Google+：http://t.co/aWYDhrT3 里面有大量微博被删文章。
2011 Dec 06 22:02:32  @mozhixu 他这个渣或者“毛也不是”没有廉耻、心性卑贱，把各种佝偻着的苟活、懦弱畏葸当作价值和斗争智慧，把存在说成合理，反而认为英勇不屈、坚决鲜明的抗争是老鼠屎，坏了他下的（当然是幻觉和臆想）、谋划的很大的棋。
2011 Dec 06 21:48:02  鼠目寸光、胆小如鼠的鼠辈，过街笑料老鼠，他给自己起的笔名真是寓意深远，不过还是他作孽的老爸更有远见，宿命般给他起名陈敏，陈敏不就是臣民吗，臣民自然是跪着蠕动的阉人贱奴。
2011 Dec 06 19:26:59  @mozhixu @wangzhongxia 我觉得你这里说的不是很清晰，政改跪谏派的逻辑是党国、体制也并非全无心肺，它们慢慢会主动改善，可坚决的政治反对派、异议人士一出来，或者底层暴动骚乱，党妈就会感到恐惧，从而收紧口袋，纹丝不动甚至倒退强化专政，那就更无希望。
2011 Dec 06 19:03:44  @mozhixu 哈哈，他还真是中道，五毛党跟社运党在他眼里是一回事。
2011 Dec 06 18:57:54  @mozhixu 我猜就是类似的五毛党出品的东东，可我不熟悉，就没法坐实。
2011 Dec 06 18:55:02  @mozhixu 请教一下，骂笑蜀的两本书大概是啥内容？
2011 Dec 06 18:47:25  笑老鼠刚手拿红蓝铅笔对着世界地图部署完欧美人权密室政治战略，又马上回头在微博上倡导阳光政治，同一段话，前头用下三滥手法抹黑栽赃，紧接着又自赞自媚“心中有阳光”，难道不自知全是在狠扇自己耳光、狠吐自己唾沫。
2011 Dec 06 18:33:05  @mahavivo 其实他自己是最猥琐、最阴暗下流的（如他在同一段话里使用的抹黑文字手法），却最爱以“阳光”、“阳光政治”这样的隐喻来粉饰美化自我形象，是否验证了人格扮演上“缺啥补啥”的理论，比如说，骗子、伪君子最喜欢假扮真诚、坦率。
2011 Dec 06 18:22:12  还“心中有阳光，头上再多的乌云都是浮云，该干吗干吗”，V大爷要吐了，司马南、吴法天、林岳芳最爱以这种不着边际、空洞乏味的文学抒情来心理暗示自己的正确，迷惑无脑粉丝了。
2011 Dec 06 18:17:21  @mozhixu 哈哈，这种伎俩太下流了。
2011 Dec 06 18:12:34  笑鼠此枚老年痴呆B全无反思能力，顽固僵化，而且很下流无耻，暗暗把（坚决、明确的）抗争派人士对他的切割围剿比附于（也许的）五毛党对他的骚扰攻击，混淆二者性质，以示自己的正义正确，这种渣，这种鼠辈，必须人人喊打，让他日益伟光正成余含泪第二，臭遍大街。
2011 Dec 06 04:01:02  @mozhixu 哈哈，推上也是乌烟瘴气，藏污纳垢。
2011 Dec 06 03:59:21  @SatyrJosta 没有。
2011 Dec 06 03:30:55  @paleylin 跟这种思维早已定型固化的中老年傻X没道理可讲，臭骂，刺痛之，留下心理阴影，下次再随便放屁时想起来能菊花一紧，就是最终目的或者最好的结果。
2011 Dec 06 03:14:13  @paleylin 我开的，笑鼠这种低智虫子有什么资格跟我讲道理，兜头一顿臭骂而已。
2011 Dec 05 22:22:41  @tanboniu @mozhixu @wangpei 嗯，不是畜生，比畜生在进化树上多爬了几个枝桠。
2011 Dec 05 22:19:16  微博公公公知点评：http://t.co/OnzgfDX0
2011 Dec 05 09:07:21  @mahavivo 妈的，怎么一句话都写不通顺。
2011 Dec 05 08:50:00  感冒没怎么好，状态不佳，今天收拾笑老鼠只是预演，还会更猛烈的后续。
2011 Dec 05 08:46:42  @mozhixu 这很低级很容易看出吧，我也写了类似的驳斥。
2011 Dec 05 07:59:29  @笑蜀 老贱狗，干脆躲回你妈子宫尿裤裆，不要再出来丢人现眼。http://t.co/LBxIdaOi
2011 Dec 05 06:05:25  @lss007 拉黑算了。
2011 Dec 05 03:01:42  @paleylin @mozhixu 专门开一个微博账号奚落笑公公算了，汇集各种对他的评论，我想效果会不错。
2011 Dec 04 21:39:15  @mozhixu 他又说啥脑残言论了？去瞧瞧。
2011 Dec 04 21:37:59  呵呵，真够sb，人本来就是地球上的害虫或者溃烂，要彻底解决问题，不如自己先自裁、天葬。
2011 Dec 04 21:23:34  @mozhixu 他们不来惹我，我自然懒得骂，可送上门找抽，呵呵，我岂有不抽之理，开书单没什么用，30岁以上的人，基本已经定型，书也会因各种缘故读不进，读了没长进。
2011 Dec 04 21:17:26  @mozhixu 我当然能觉察出是能力问题还是故意歪曲，笑蜀也许智商比较低，但我骂的叶隐，公平地说，智商要比笑蜀高一大截，他就是贱兮兮，没品格。
2011 Dec 04 21:14:58  @mozhixu @wangpei @tanboniu 呵呵，王佩就抽烟这件事骂别人是畜生实际上自证了自己是畜生。
2011 Dec 04 21:11:02  @mozhixu 我骂人有时会很难听，但这属于修辞/情感强化，我绝对忠实引述你的原文，且不歪曲其意思，在这个基础上再批判，所以有的人虽然很气愤，却没法有效驳斥还击。
2011 Dec 04 21:06:00  @mozhixu 他骂别人的话，实际上精确地给自己画了个像，妖魔化对方以实施攻击，正是老毛那套思维、话语最擅长的，狼奶吐不干净的症状。
2011 Dec 04 21:03:05  @mozhixu 这很卑劣下贱的，捏造不存在的稻草人攻击以示自己的正确，污名栽赃，而且很怯懦，连名字都不敢点。你说说谁是新的老毛？
2011 Dec 04 20:55:11  @mozhixu 嗯，这个我也谈过，公共则不知识分子，知识分子则不公共。
2011 Dec 04 20:53:48  @mozhixu 呵呵，南周也转载过我，是我揭发汪晖抄袭的证据，他们本来想约稿，被我拒绝，我写文章的尺度纸媒那里受得了，我又不愿自我阉割。
2011 Dec 04 20:49:48  @mozhixu 也不是说绝对摆平就是最好的，有时根据语境需要可以更激进，给出更强势的论述，但起码你要对大概哪里是平均和中道心里有数，纵心所欲而不逾矩。
2011 Dec 04 20:40:20  @mozhixu 我现在就比较奇怪，像笑蜀那样张嘴就是绝大漏洞的文字中老年也能在媒体上混出头，其他人该是多拙劣。不说惊艳了，连摆平都做不到。
2011 Dec 04 20:37:44  @mozhixu 所以《读书》、《南方周末》我素来基本不看，笑蜀的名字今年以前就没听说过，我要找的是那种能给人惊艳感觉的文本，或者一直在历史上/国际上影响很大的典籍。
2011 Dec 04 20:32:53  @mozhixu 我一直认为秀场意义不大啊，只谈智识的绝对值。
2011 Dec 04 20:24:46  @mozhixu 这毫无疑问，民主的洪流一开，只会越来越浩荡。
2011 Dec 04 20:22:54  @wangzhongxia 这没有矛盾，我经常一边看书一边上网，只是把刚才的一直在上网改成同时看几页书。
2011 Dec 04 20:12:44  @gluckhorse 倒不是脾气坏，尼采、鲁迅、钱锺书那么爱骂人，但在实际生活中也不乏温文尔雅，读书多了眼光会很苛刻锐利，于是三两下就识别出来了各种渣滓，充数滥竽，尤其是知识和见解上的漏洞，出于智性上的正直，不得不予以攻伐诛杀。
2011 Dec 04 19:58:06  @lss007 又在假装聪明，没意义的，烦了我会拉黑人，管你天王老子。
2011 Dec 04 19:44:26  @lss007 不跟你扯这些无聊问题了，看书去。
2011 Dec 04 19:27:26  @mahavivo @lss007 我在天涯常用的一个ID是“其雪如焚”。
2011 Dec 04 19:25:28  @lss007 哈哈，我5年前就在天涯被封过比霸王枪还厉害的拳头，搜【天涯成名之七种武器（真我版）】，当时无聊在贴图版调戏MM。
2011 Dec 04 19:07:28  @lss007 @lr_hw 这种说法很搞笑，好像人生的全部趣味就是打共产党这个苍蝇一样，而且，我什么时候一地鸡毛了。
2011 Dec 04 19:02:21  还有狠劲、恶毒劲，你要能瞬间激发情感上的激昂状态，意志决绝，却纹丝不乱，刀刀见血、箭箭封喉地连续拼杀，这样的强人也许要数尼采。
2011 Dec 04 18:54:42  @mahavivo 所以读书也许最多的乔纳森不是对手，至于文风时而华丽妖冶，时而流畅简洁，时而幽默搞笑，又战胜了很多庸凡之辈。
2011 Dec 04 18:51:30  网络掐架，实际上竞赛的是写文章，讲究气势、识见、学问、文采、逻辑、情感、想象和趣味等，无论哪方面有短板，做不到无懈可击、滴水不漏，都有可能导致败北，我考察历年，真正能趋向完美的也就一个哥尼希。逻辑上密不透风，故能完败气魄雄长、文采斐然、想象独特的陆兴华，学问精湛，见识高超，
2011 Dec 04 18:33:10  @lss007 昨天莫之许说2000年前出版的几百种西学要著他都看过，这当然很厉害，我为了表示谦虚当时没说的是，2010年前出版的古今中外上千种一流名著我都看过，有些一时来不及看，但我也大致翻过，心中有数，我自识字起到现在，除了阅读，啥正经事都没干过。
2011 Dec 04 18:25:46  @wangzhongxia 是我本人，见前面的推文。
2011 Dec 04 18:24:49  @lss007 也长期追踪前沿消息，呵呵，你说你在哪方面跟我比学力？什么北大博士许志永北大博导XXX在学问、见识上在我眼里都是土鳖，一抓一大把。
2011 Dec 04 18:20:36  @lss007 你再说说你的学力是啥，我读过工科，后来又读了中国古代文学的学位（先秦魏晋方向），素来也兼治哲学（甚至是主攻），英法德西班牙语古希腊语都深深浅浅学过，研究过政治学最核心的五十种以上经典，历史、地理熟悉，经济学也不陌生（十几种砖头般的标准教材肯定摸过），甚至电脑网络
2011 Dec 04 18:10:35  @lss007 你疯了啊，我哪里招你惹你了，再说你跟我就什么话题掐，掐的目的是啥？我掐架的最高纪录是对决国内国外左左右右数百陷入汪晖朱学勤抄袭案的知名教授博导，逼迫他们全部噤声，你能找来这样的战团、这样的精兵强将，以及有意义的主题，对掐也没问题。
2011 Dec 04 16:05:54  @lss007 @lihlii 我与此不同，我对男女老幼蠢货贱坯统统不客气。
2011 Dec 04 15:59:46  @mashaofang 呵呵，你这把我们这些weibo转世党一笔抹杀了，今年冻尸骨、艾借钱之所以能影响那么大，全赖在墙内力推。
2011 Dec 03 20:28:03  @HifonNgan 我的账号常被删，多在weibo fo一些转世党，就能找到我。
2011 Dec 03 18:03:15  @mozhixu 没用的，傻X不是说看几本书读几篇文章就能改造。
2011 Dec 03 17:44:30  @mozhixu @wenyunchao 这都是可以粗略测算的，暴力维稳，总共能动用的也不过500万+军警，其他大量功能性的党政公务、事务人员他们会上街对垒？几千万人街上一站政府绝对hold不住，你敢屠杀，如今也许更hold不住，形势跟六四已经大大不同。
2011 Dec 03 17:31:48  @wenyunchao @mozhixu 我早就说过，哪里需要过半，几千万人站出来就可以翻天覆地，其他人都是随风倒的墙头草，可他们只要不破坏、阻拦你，肯随风而惰性挪动，就已经是支持力量。
2011 Dec 03 17:27:13  @wenyunchao 共党自然不怕我，可杀了我，我家族亲戚有数百，我同学同事数百，我的各种朋友、熟人也有数百，即使不出于政治或者道义的诉求在帮助/支撑我，我也不是一个人在战斗。
2011 Dec 03 17:22:26  @wenyunchao @mozhixu 你的想法很怪，你以为靠你我两个人敢到处肆无忌惮地乱说，或者沙沙他们敢去冻尸骨？不是的，因为我们知道如果我们遇到不测，会有一大帮人为我们呐喊声援，甚至提供实质性帮助，这就是诸众、人民。
2011 Dec 03 17:18:30  @mozhixu 微博上一群瞎子对这篇文章评价很高，尤其那些改良改革期待分子、眼睛望穿红墙红杏的人。
2011 Dec 03 17:15:12  也就是说，不是你语言能力卓异就能唬住人，你是否可以同时数学考高分（思维逻辑严密），平衡感如何，有没有对社会人生的敏感，深刻洞察，等等。@mozhixu
2011 Dec 03 17:11:24  @mozhixu 这个厉害，不过现在国内的确有中学就读原文莎士比亚的年轻人，可他们的整体天资不行，读也没用。
2011 Dec 03 17:08:39  @mozhixu 呵呵，这纯属瞎扯淡，公务员总量也不过几千万，再多根本就养不起，政府会拖垮自己。
2011 Dec 03 17:04:05  @mozhixu 嗯，你如何评价钱理群的2010年回顾？
2011 Dec 03 17:01:59  @mozhixu 有可能，一则我2000年左右还是文学/哲学青年，二则我素来的成长环境也不算优越，但哥等不是这样，他是大城市知识分子家庭出身，中小学学校附近就是三联等的书店。世家跟我这类野路子大不一样。
2011 Dec 03 16:52:23  @mozhixu 工科生知识面宽，逻辑性强，如果能兼治或者后来转入人文社科，呵呵，无敌。
2011 Dec 03 16:49:26  @mozhixu 不是没成长起来的问题，而是我们这些更年轻的当时用网络没你们方便，没钱，或者附近上网不便，于是了解少、发言少，甚至没出现过。我有条件整天趴在网上，已经是2003年，以前都是在网吧偶尔上，或者到同学、网络中心那里蹭。
2011 Dec 03 16:43:07  学法德日三门二外，成绩均列班级第一（他上的当然是最好大学），天资过人，又从没荒废过，你们这些前辈已经过时，后来人我发现也几乎无人可追。
2011 Dec 03 16:37:20  @mozhixu 这有点自我得意了，最可怕的就是那些潜伏在水面下的大鳄，虽然没咬过你，但并不意味着没有。哥尼希是全新武装出来的一代读书人，海德格尔的《存在与时间》是他高三毕业暑假的读物，而此前的弗洛伊德、叔本华、柏格森他觉得不够哲学，普鲁斯特等也是中学读物，他大学读电子工程，同时
2011 Dec 03 16:26:22  @mozhixu 封我IP，断我网线，自然我就不会玩weibo，至于追着我的账号删除，早已无所谓。
2011 Dec 03 16:22:56  @mozhixu 我话还没说完，在加大控制封杀力度上说死，尚能成立，可我不认为会突然关闭，除非出现重大意外。
2011 Dec 03 16:18:02  @mozhixu 哥尼希这个名字一搜就能找到部分经典回顾。10年前哥尼希还没出山，在到处潜水，即使出过山也无法追溯稽考。
2011 Dec 03 16:09:43  @mozhixu @virushuo 微博要死这种看法过于悲观，如果真的这样，什么上海发布就不会最近上线。随着越来越多官方机构、商业品牌，乃至国际组织入驻，掐死的作恶成本会因为过高而不可取。
2011 Dec 03 16:05:24  @mozhixu 又要老生常谈，我见过的最高段掐架选手（没有之一）是哥尼希（他还有各种其他马甲）。
2011 Dec 03 15:58:35  @wenyunchao @reiayanami0001 瞎扯，明明还在：http://t.co/dkZMeu5v
2011 Dec 03 15:55:57  @mozhixu 方舟子掐架级别实际上不高，只是他通常的对手都太弱。
2011 Dec 03 02:49:11  友情配合一下 方舟子，我来查青岛市委书记 李群的剽窃。随便就翻到一个，《我在美国当市长助理》P97：【其中著名的英美烟草公司的游说费用从400万美元一下子蹿升到2500万美元，在当年整个烟草行业游说费用排行榜上跃居第一位。】等，抄袭自刘润忠2001年的文章“关于美国的游说政治”。
2011 Dec 03 00:16:51  @cococyhair 这不是吐气，而是在抽烟。
2011 Dec 02 23:39:15  @ZhouFengSuo 我在黄浦警局见过他，可因为一直是隔离讯问，就不清楚他的具体情况。
2011 Dec 02 23:04:03  @gluckhorse 有啊，见豆瓣http://t.co/lPr9BoW3
2011 Dec 02 22:41:42  为澄清不必要的误解，换上本人真实头像。
2011 Dec 02 22:30:40  @rtmeme @zzking8 @ZhouFengSuo @yinghaoxu 艹，这人跟我鸟关系都没有，我的照片豆瓣就有，吴法天都找出来过，你们的搜索、判断能力看来连五毛都不如。
2011 Dec 02 20:47:42  笑蜀，笑料风箱老鼠。
2011 Dec 02 20:46:30  政改跪谏派是我对笑鼠之流的最恰切命名，单独形容笑蜀的话，他就是夹在权力和权利、维稳和维权之间的风箱老鼠。
2011 Dec 02 20:33:35  @lss007 @lihlii 你这个比喻用得好，赞。
2011 Dec 02 20:32:36  @mozhixu 嘲笑的就是这种心态啊，谁边缘化、谁是主导力量要拿作品说话，改革跪谏派除了耍嘴皮，有什么受人瞩目的行动，有什么战绩，主动抗争者、激进革命派可是不止一次惊动了党中央。
2011 Dec 02 20:24:09  @mozhixu 假如你说的是真的，这个搞笑，谁切割谁啊，是激进的草泥马们有影响力和行动力，还是他们这些自命精英、中道/温和/理性、实际上P也不是的风箱老鼠更是主导力量？切割用词不妥，疏离、警惕更好一些。
2011 Dec 02 20:11:38  @mozhixu @twccl 而且，改革派本身就是错误的命名或者被滥用，改革必定由统治/主导阶层来进行，可实际上这种人在中共的高层目前就没有，或者未曾显现（温的话语表演自然不算），你说的改革派准确的说法是改革期待/谏言分子。
2011 Dec 02 20:04:59  @mozhixu @twccl 我认为不是这样，你的这种表达简化了抗争派的复杂性/类别区分，有的人抗争是想以压促改、促变，而有的人则更激进，要彻底解体打倒既有政党/政权，激进派别难以兼容兜售虚假希望改革期待分子。
2011 Dec 02 19:24:29  @lss007 我会在媒体战、舆论战、话语战的现场，上街游行，我睡过头了或者要跟美女约会，我不参与，我认为一点问题都没有，因为它不是我的长项。
2011 Dec 02 19:21:04  @lss007 不着调，我又没自命为战神、圣斗士、斗战胜佛，即使打怪，我也只是观察者或者理论家，不见得会去现场。
2011 Dec 02 19:07:20  @shenxingzhe 在你身上我试试怎么拉黑。
2011 Dec 02 19:03:13  我不知道他怎么蠢到此种程度，这么多的人批评责难他，他不想想自己出了什么问题？
2011 Dec 02 19:00:32  @lss007 此一时，彼一时，我说的是2月份的事，我会傻到在所有时候都采用相同的办法？时间点过去，我已经不是原来的我，一些细节上自然有变化。
2011 Dec 02 18:53:28  @mozhixu 我认为也值得记录，它是群众意志的显示，你说的主动抗争有范例引导的价值，但我一直认为不是主要力量，维持的火种而已。
2011 Dec 02 18:50:00  @lss007 可我真的没有什么担心泄露的私密消息啊，我现在公开在网上说的话比我私下和人说的话过分、火爆得多，因为写作可以充分酝酿、修辞强化，而日常交谈就很平淡，而且，我平时生活中只接触认识了很多年的同学、同事、读书的朋友等，基本就不谈敏感性话题。
2011 Dec 02 18:40:55  @mozhixu 比如晚上的兰州、西安也可以粗略记载，附上几张代表性的图片。
2011 Dec 02 18:37:50  @mozhixu 谢谢，功德无量。
2011 Dec 02 18:36:49  @lss007 呵呵，你要能随便找到我的有效漏洞，才真的是稀奇。
2011 Dec 02 18:34:50  @mozhixu 既然没有系统整理汇编，还是天天趴在网上自己搜罗囤集吧。
2011 Dec 02 18:32:20  @mozhixu 你这又把话题歪曲了，我最开始问的是对国内公民运动、政治/社会抗争材料的熟悉、掌握和记录展示，等于在说，谁那里窖藏且可/已经共享的蔬菜肉类丰富，实际上不干炒菜什么事。
2011 Dec 02 18:22:32  @mozhixu 可问题在于我也是研究性地读，我也写过学术性的文章，我又不是不炒菜。
2011 Dec 02 18:18:21  @mozhixu 我不承认你这种说法，好像我不主要读的是学术类的书籍，虽然我很少写所谓的学术文章。
2011 Dec 02 18:18:21  @mozhixu 我不承认你这种说法，好像我不主要读的是学术类的书籍，虽然我很少写所谓的学术文章。
2011 Dec 02 18:15:18  @shenxingzhe 你这种猪能看出啥？
2011 Dec 02 18:14:06  @lihlii 你TMD不要丢人好不好？茉莉花之前，我从来只混读书圈，你说我有些啥不能对国宝说，是庄老哲学呢还是齐泽克阿甘本呢还是鲁迅钱锺书呢？
2011 Dec 02 18:08:45  @mozhixu 张建不认识，吴和苏我认为了解的程度跟我不相上下吧。
2011 Dec 02 18:08:20  @lss007 你这是在自说自话，我做过的一切都正大光明，我也从不秘密串联，我的IM工具、邮箱、网站登录密码等都素来不保护，有什么消息怕泄露，电脑里下载的色情图片还是啥？
2011 Dec 02 17:49:55  @lss007 我没这样的策略，我也没能耐保护韩寒或者陷害韩寒，对我来说，更重要的原则就是里外如一，人前人后如一，早前现今此后如一。
2011 Dec 02 17:45:55  @lss007 @lihlii 不是打击你们（实际上就是），你们都过于不学无术，就不要瞎搭话自曝其陋了。
2011 Dec 02 17:39:57  我何以要把韩寒和郭四娘扯在一起 http://t.co/Ni9MJCVe  2010-05-08 21:33:11 来自: vivo
2011 Dec 02 17:37:52  @lss007 呵呵，别自作聪明了，我批判韩寒的文章早于被国宝讯问。
2011 Dec 02 17:35:02  @mozhixu 只能是海外研究或者自带干粮奉献，这对中国当下、近期未来实际上才是最有意义的，其他我觉得都是渣，经济学、文学、历史、哲学，乃至自然科学、技术工程（因为只是山寨）。
2011 Dec 02 17:21:24  RT @mranti: RT @wuyagege: 德国宪法—基本法有一条极端状态条款，如果自由民主制度被破坏，不可动摇的人的尊严自由被侵犯，那么公民就有权利起来反抗。这不只是权利，更是公民义务。
2011 Dec 02 17:15:49  @mozhixu 有没有人专门研究国内的公民运动、政治/社会抗争，就是把历年来代表性的事件记录一下也成，我不是很熟悉，没见到相关严谨扎实的材料。
2011 Dec 02 16:13:49  @wenyunchao 解释不对吧，我看最重要的原因是他当了树大招风的央视台长，以前谁鸟他是谁，他放过什么臭屁。
2011 Dec 02 12:52:44  @duyanlin 你丫真搞笑，看清楚我帖子的写作时间，当时网友的说法是集体捐资（不是借款），而艾胖自己也宣称不用，不过后来情况又发生了变化，成了借款的行为艺术。
2011 Dec 02 12:46:10  @paleylin @fufuji97 此类话题都很陈腐，如果解体土蚣后13亿人的智商连一部像样的宪法都搞不定，那还不如一直当肉猪等死。
2011 Dec 02 12:39:57  @lss007 毒舌啊，你可以再找陆兴华骂艾胖的文章读读。
2011 Dec 02 11:58:47  @mozhixu 韩寒本来就是鸡贼，我早有帖子批判过。2月底，我问国宝，假如韩寒号召粉丝到来福士星巴克聚集喝咖啡，怎么办，答，他不会，他比你聪明，我们从没找过他，我说，我不认为他比我聪明，他只是比我世故狡猾，国宝一笑默然。
2011 Dec 02 03:55:43  文艺范——爱着光，爱着影（写于2005年左右）http://t.co/tcDAG2fn
2011 Dec 02 02:11:31  @isunaffairs  两处败笔，一，我猜吴强文科出身，他不懂物理学意义上的正反馈、负反馈到底是什么意思，二，民粹是带毒的词汇，要慎用。
2011 Dec 01 20:09:57  @mozhixu Ta说的五毛是我。
2011 Dec 01 20:03:51  @mozhixu @linuonuo1 哈哈，诺诺还被我在weibo骂过。
2011 Dec 01 19:56:17  @lss007 拜托女神姐姐，别这么调戏小弟/V叔。
2011 Dec 01 19:54:41  @mozhixu 呵呵，他没啥社会科学训练，不过激情、毅力、洞察、文笔都过人，同侪远远不及。
2011 Dec 01 19:48:50  @lss007 哈哈，你不会说的是我吧。
2011 Dec 01 19:46:57  @mozhixu 嗯，我倒经常跟他打交道，还去过他的店铺，准备跟他学做生意。
2011 Dec 01 19:45:55  @mozhixu @maarxv 切，这那里叫阅读或者看书，一周读一两本通常体量的书好了，一年六七十本上下，当然，像冉云飞推荐的那些烂书一律不读。
2011 Dec 01 19:34:41  @mozhixu 俺们几个是什么意思？陆兴华倒是一顿狂飙，哥尼希神出鬼没，各种化名，极少露面。
2011 Dec 01 19:31:10  @mozhixu 这么说不对吧，我从中学开始就关心时政，不过一般不就此公开发言。
2011 Dec 01 19:23:03  冉氏的学识N年前就被我的一个兄弟Dasha蹂躏了一番，我全程见证，纯以读书写作而论，我觉得当代汉语人里的巅峰是哥尼希和陆兴华。RT @mathena 这话真大，先fo这位推友看看有什么牛逼之处。
2011 Dec 01 19:18:15  @lss007 别老提我的真名实姓，我真的不想出名。
2011 Dec 01 19:12:12  @mranti 没什么好遗憾，冉云飞就是个看书看不懂，看了也没长进的人，他还自命读书种子，一笑。
2011 Dec 01 19:02:01  不扯了，写了贴不出来。
2011 Dec 01 18:59:55  @mozhixu 必须步步紧逼，置之于不容有毫厘差失的困境/艰难之地，就更能考验出一个人的成色和功底，甚至让对方洋相出得更大些，笑鼠这种人，智识、表达水平实际上连叶2、书X都比不上，击杀他如探囊取物，主要麻烦在于话语权的不对称上，而且他会采取缩头乌龟策略。
2011 Dec 01 18:43:50  @mozhixu 那我就当仁不让出招了，你有什么黑材料尽管提供给我。你们在推特上这么隔空玩，我看着觉得很憋屈。
2011 Dec 01 18:40:13  @lss007 哈哈，我没这么可怜吧，我的铁粉还是不少，我在豆瓣骂人那么厉害，2月末还是有很多人声援我，最关键的是，我骂人虽然毒辣，可都捆绑着铁证，没法有效反击驳斥。
2011 Dec 01 18:33:23  @mozhixu 打个不大恰当的比方，我天天自吹我比叶隐书海这些二货牛，有不少人根本就不承认，因为他们的认知被道路依赖锁定，很难转圜，而且也匮乏比对辨认的材料，那我就浪费时间演示/展示给他们看，蠢材自然没救，可稍微聪明点，就能从这种贴身过招中认出是非好歹。
2011 Dec 01 18:25:24  @mozhixu 你这种辩护难以成立，在舆论场、媒体场上，不是东风压倒西风，就是西风压倒东风，你所谓的胜，只是心证自证或者小圈子内的认同，而不是公众的普遍认识，但对抗争、异议政治来说，人民、诸众才最重要。
2011 Dec 01 18:18:49  @mozhixu 因为庞大的话语权，他的公众影响非常恶劣，你这种妇人之仁会祸害不少人（虽然难以确认因果链条，但凭经验不难推测、想象），是你的既往情面重要呢，还是民众、未来重要？我想这不难抉择。
2011 Dec 01 18:08:48  @mozhixu 你是不是写推特把自己写废了，既然如此熟悉情况，就不能写几篇雄文灭了笑鼠或者让他极大丢脸？
2011 Dec 01 17:59:37  自从15世纪末以莫斯科为中心的罗斯诸公国摆脱蒙古汗国的压制后（伊凡三世起），俄罗斯这个国家一直就是周边各国家和民族的祸害（从彼得一世、叶卡捷琳娜到列宁、斯大林、赫鲁晓夫、勃日列涅夫，直至普京），受其荼毒最惨烈的要算波兰和中国，500年双头鹰、北极熊面目不改。@俄罗斯驻华大使馆
2011 Dec 01 13:10:47  @kunlunfeng 对，这会导致知识积累不足，思维方式/观念/语言陈腐，狼奶吐不干净，跳不出窠臼，各人的情况还不一样，有的彻底是脑子坏了，有的是奸猾，两头吃两边押注，而有的是有很大利益在，怕被踢了坛坛罐罐，于是软弱怯懦。
2011 Dec 01 13:01:00  @7strang 你这种说法很奇怪，你读过那些左派作者的文章/书，你认为国内谁是左派，我推荐给你一个也许货真价实的左派——陆兴华，你感受一下他是什么语言，不过有些内容你也许读不懂，拣能看懂的读即可。
2011 Dec 01 12:56:08  @kunlunfeng 再有一种就是笑蜀此类，被六四吓坏了，打断了脊梁骨，把做爬虫蠕虫求告、期盼恩赐当成了妙策和光荣。
2011 Dec 01 12:52:10  @kunlunfeng 我同意你这种看法，40岁以上的人常有两个绝大梦魇，一个是文革，一个是六四，导致他们对历史和现实的观察/理解极度扭曲，常常是错误的，比如不少人在警惕民粹、防止文革重演，它绝对是笑话。
2011 Dec 01 12:36:14  @mozhixu 我也没说不读国人写的书，中国古典名著自然要读，金庸古龙，甚至路遥、王小波、王朔也会看看，但把握思想、理论、哲学，的确不是从李泽厚、甘阳、刘小枫、汪晖、朱学勤、秦晖、许纪霖、葛兆光等他们那里来，一开始他们就是质疑和批判的对象。
2011 Dec 01 12:27:46  @mozhixu 这是你们一代的问题，在我们一代或者更下一代不怎么成立。当然，我说的是比较优秀的代表。
2011 Dec 01 12:24:52  上世纪九十年代中期的时候，我们在读大学，当时已经很多（甚至可以说大多数）国际前沿的、一流的作者/思想者都已经引进了国内，再过几年，互联网进入、普及，接触和了解国际学术、思想、文化动向更没有问题，偶尔观察下国内的成绩，不堪入目，不值一哂，所以根本就没有所谓的精神-思想代际传承。
2011 Dec 01 12:11:45  @mahavivo @mozhixu 我去年收拾汪晖、朱学勤，有2货提出的一个辩护理由是他们是年轻一代学子的精神-思想起点和来源，不能弑父，我和Tiens（他比我稍大）当即否定了这类说法，不好意思，都没读过，连他们的书都没买过。
